id,TotalStreamCounts,PeakStreamCounts,PeakPosition
255vSRpVq5YYKBJiem1BVx,23109564.0,86091.0,3.0
25edeHHueINMguqu9emCyV,34994903.0,40279.0,1.0
26zqmmkqUK6mCc87XDzPym,12468224.0,108360.0,9.0
27AEQr4wqfHyVpwgFgnGs6,3676104.0,48486.0,56.0
27F22WcGDyl4Z2KylVJkXL,10753087.0,43724.0,13.0
27Z9T0mSWHYWSj9SNOGvyt,26896347.0,47735.0,18.0
27fqy8VruqYZlKiK1qfwEd,4332198.0,58605.0,4.0
28bxbqNcAuNxYDZYet6eZ7,26592051.0,73730.0,4.0
28ncfVOBRp3HGweSZ6Wb8C,1071436.0,27510.0,155.0
29Tj2R8sZZ3fzlXZVe1OyY,5266083.0,67131.0,34.0
29VSQCxul5FNmpi4gVR7Qn,540173.0,23951.0,116.0
29cUOvKfTmx9SFDC73QHv5,512156.0,34035.0,37.0
2AA4UcXp2WRvsU9cyHT6Vy,3122555.0,43229.0,4.0
2AA5DB0Ehi28UdYrAU9xnA,2260857.0,87857.0,13.0
2AVDBKzxzTjLB91WVTfIlA,707061.0,90731.0,11.0
2Asy51yFMEG8Qjh15kvQeD,2987347.0,32840.0,95.0
2BqQ5ZM73pNugfd6NteCPe,1376434.0,23623.0,7.0
2CFC7iLurCyDYuXQcfem2l,6616397.0,38145.0,60.0
2CH9JPCmEx4F3nm6TwHPxs,413733.0,54474.0,24.0
2DeraySaI3fomlDF6S2NZa,374887.0,14191.0,88.0
2DzFmWhrnRHROJuxW5e1t2,1104827.0,25363.0,110.0
2G5ujw3rrWcAXQqT8PVnrz,1108046.0,33631.0,109.0
2Gt0kVB7kHnJZi0GTJe4Qm,687105.0,3634.0,111.0
2I9QJOvD1lamK9tHffY4La,312924.0,26399.0,82.0
2Jaaw8PrdUfPlU6o6tL5dl,16515878.0,24806.0,2.0
2JuHIbFudHwDqQssgqsH3i,22956581.0,102900.0,6.0
2LX16d9LWQxmlUiOfxHKYO,304831.0,16963.0,23.0
