id,TotalStreamCounts,PeakStreamCounts,PeakPosition
37kfF2bDr3O2qmOYNTgDMT,929628.0,161459.0,59.0
37od1g713ZvI32VA2diR9L,766555.0,137517.0,97.0
37ull7GiBZRLhWYDBIYZzW,4018943.0,680071.0,22.0
38MI5LpTajiO3A0DQGcCmu,969788.0,206740.0,47.0
38rjRVqEHSlDRrDWDvjkqW,19449346.0,584785.0,1.0
38sxHKwaMeDAn4ppmilyas,636149.0,120698.0,8.0
39KWnPNEvbXt423CzjvBfA,2530568.0,192508.0,95.0
3A0QLMQn0XqmCrJMInLhYg,921228.0,247081.0,69.0
3A9A7mfVDVm3rrS9SMGhg5,18469256.0,449692.0,22.0
3AejRjgBsFV4HWHjJmmEP7,15324789.0,204021.0,22.0
3Alwi53Ahc2GwHgvel42b2,15761070.0,1058785.0,4.0
3Alwi53Ahc2GwHgvel42b2,15761070.0,168315.0,4.0
3BnD2G2bRvtRiLssSQY8oE,207192.0,52778.0,175.0
3COYA2vgfcUhDyRlVpZy5p,20166131.0,1229286.0,4.0
3CmacJj7VC4W6daC8BWd0h,25668511.0,2123484.0,2.0
3CmacJj7VC4W6daC8BWd0h,25668511.0,334762.0,1.0
3CyGK8BeJ5iCunpzvHyINs,5544707.0,497288.0,10.0
3DLtPObflLQBodZN8qGODT,25242246.0,328631.0,18.0
3EQjXzlXY0dyOovq0Awe91,3441339.0,689967.0,6.0
3ER1r0HipeSSu7YNImC6vd,4921829.0,291679.0,61.0
3ESeHjnPRxAg4mW3KsFyXi,830520.0,47147.0,100.0
3ET3xHCLMGd57u06A9RjJ0,13709216.0,267224.0,79.0
3EuOQ0v6LxsNFSf3BF5wrw,17356.0,8741.0,181.0
3EvZ9Ztgy03uUhxlv8PLf3,309797.0,190834.0,64.0
3Gr6ucPp3qJbBZ3yrGmZTt,157443.0,157443.0,90.0
3HJ0EW4kd9S1NRCm039Fsk,9340096.0,159492.0,1.0
3I024mr4TcQb8W9cNVe0ze,1251952.0,271849.0,37.0
3Ids3RXurYBgySph53qWnB,5090927.0,606924.0,16.0
3J3nv18iIrOhca1ZWNeuyW,10282671.0,176006.0,132.0
3JIfmjJbanxJkwaPzYa2gN,14028959.0,818219.0,5.0
3JIfmjJbanxJkwaPzYa2gN,14028959.0,127409.0,5.0
3K7RddI2L8Wiv7uIbrhfLc,19229882.0,529688.0,11.0
3LGNVNZeEIUwdzDvnUO73V,3728623.0,53519.0,49.0
3LfiZlWffAqGOAQ6sKjoJP,685724.0,69239.0,95.0
3LlEZ4J1ORcgP1WmTF9pIX,68367.0,34276.0,183.0
