id,date,vn_position,vn_stream_count,global_position,global_stream_count
0mc8HGMSYoMxRuJma5bslY,Peak,107.0,46708.0,,
0mhfW8VkkCQBUSDqHJKJnA,Total,,229748.0,,
0mhfW8VkkCQBUSDqHJKJnA,Peak,134.0,115611.0,,
0mjCVMElNTISeFwF2VdWJ3,Total,,1772300.0,,
0mjCVMElNTISeFwF2VdWJ3,Peak,76.0,125857.0,,
0o3rCh03ubOUAEI972qpU5,Total,,738565.0,,
0o3rCh03ubOUAEI972qpU5,Peak,122.0,171722.0,,
0oL2jCTf9P9a7flY5mCpYu,Total,,2691779.0,,
0oL2jCTf9P9a7flY5mCpYu,Peak,96.0,252413.0,,
0oSc7X1uRQGuEqNRtXEeQL,Total,,8586041.0,,
0oSc7X1uRQGuEqNRtXEeQL,Peak,1.0,2230677.0,,
0pavLg3wbL6PVXAgXoWv4S,Total,,407720.0,,
0pavLg3wbL6PVXAgXoWv4S,Peak,119.0,237076.0,,
0phm7GkRTCRI9OQqTJvG6q,Total,,616066.0,,
0phm7GkRTCRI9OQqTJvG6q,Peak,55.0,203972.0,,
0piLGIj0C7RR4B2gowEqmO,Total,,1305767.0,,
0piLGIj0C7RR4B2gowEqmO,Peak,59.0,34901.0,,
0s3OUtMwTA79PkhDHUtfp3,Total,,88593.0,,
0s3OUtMwTA79PkhDHUtfp3,Peak,72.0,28990.0,,
0s7RyyUlQfd8mnnboHe18n,Total,,17587916.0,,
0s7RyyUlQfd8mnnboHe18n,Peak,20.0,617169.0,,
0s7wXifcEHCo9OgELbNv8d,Total,,1443039.0,,
0s7wXifcEHCo9OgELbNv8d,Peak,4.0,35978.0,,
0sVd1ZavOfbqd5AHspc1Tr,Total,,1402311.0,,
0sVd1ZavOfbqd5AHspc1Tr,Peak,76.0,81076.0,,
0tGmDUHDoT8pxYhgAT3yNG,Total,,10473902.0,,
0tGmDUHDoT8pxYhgAT3yNG,Peak,8.0,876822.0,,
0tRpWjAPI6SCNcOMQGw4z5,Total,,221806.0,,
0tRpWjAPI6SCNcOMQGw4z5,Peak,139.0,110978.0,,
0tfMfqHC3Pl6DG8kcIjXq9,Total,,107186.0,,
0tfMfqHC3Pl6DG8kcIjXq9,Peak,200.0,107186.0,,
0uRpE3YtszcI37nUSBusmq,Total,,94019.0,,
0uRpE3YtszcI37nUSBusmq,Peak,98.0,94019.0,,
0vXAYEWak7KiyGdbth8Gz6,Total,,2951722.0,,
0vXAYEWak7KiyGdbth8Gz6,Peak,75.0,286428.0,,
0x5BqH8iC2Y2lTMxAkNAna,Total,,1777976.0,,
0x5BqH8iC2Y2lTMxAkNAna,Peak,21.0,290681.0,,
0xi7bCx9m2rgPbCN6Xhlel,Total,,211222.0,,
0xi7bCx9m2rgPbCN6Xhlel,Peak,107.0,59590.0,,
0y4JreJemfzXhr3NkKCm5g,Total,,54530.0,,
