album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
Nghe Những Tiếng Vang,single,5,"['PC', 'Urabe']",1,173142,False,2VMniITHAN0YhbgH7hTo6A,Nghe Những Tiếng Vang,12,1,2021-01-24,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",125536.0
Flyigh,single,5,"['P$Mall', 'Sol7', 'PC']",1,211578,True,4m42GDHONRIlGAZAumXQZI,Flyigh,12,1,2021-08-25,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",124114.0
Sóng Tình,single,5,"['D Blue', 'McTee', 'PC']",1,166158,False,4hdqHdBNIQ3EvsF4JfpVxh,Sóng Tình,11,1,2020-11-02,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",10464.0
Người Về Hay Ghé Ngang,single,4,"['Hoài Lâm', 'PC', 'Brother A Tuấn Anh']",1,271500,False,4EBhborJ85B77x7GapAWl0,Người Về Hay Ghé Ngang,9,1,2023-11-25,"['vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese bolero', 'vietnamese lo-fi', 'bolero']",31017.0
Đôi Lần,single,3,"['PC', 'An', 'Willdawind']",1,280451,False,5TNxaFDKZGfpQiOsRAicBc,Đôi Lần,9,1,2016-06-25,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",30291.0
Hạ Lạ,single,3,['PC'],1,201966,False,6hTfBUzBOv1JVqPMtBG7Dl,Hạ Lạ,8,1,2016-03-13,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",30408.0
Tuyển Tập Indie Rap Wang,single,5,"['Wang An Nan', 'Galaxyy', 'PC']",1,240170,False,0KnlR9ZnYCYBFGol7NgnLK,"Let's Leave the Party (feat. PC, Galaxyy)",8,6,2019-07-11,"['vietnam indie', 'thai pop', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",76529.0
Từ Dạo Ấy,single,3,"['PC', 'Sukai']",1,211247,False,4rp5JsXrBusjt6spCLNjmL,Từ Dạo Ấy,8,1,2016-05-08,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",31167.0
Con Đường Tơ Lụa,single,2,"['Tùng TeA', 'PC']",1,231608,False,1LIhUGR8PF6yirERAzfbv4,Con Đường Tơ Lụa,7,1,2022-08-18,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",73815.0
Như Anh Mơ,single,2,['PC'],1,358413,False,2gdZHG5f1CHFZX0DF3GfjS,Như Anh Mơ,6,1,2020-03-16,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",7453993.0
DIEUEMMUON,single,7,"['PC', 'NVM']",1,195000,False,2AXMBI6UP0Y840MhNKhOjY,DIEUEMMUON - Beat,4,2,2021-07-08,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",21443.0
Người Về Hay Ghé Ngang,single,4,"['Hoài Lâm', 'PC', 'Brother A Tuấn Anh']",1,271500,False,0ZQCufGbaa4aatqKdy8Nib,Người Về Hay Ghé Ngang (Instrumental),3,2,2023-11-25,"['vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese bolero', 'vietnamese lo-fi', 'bolero']",7467.0
Như Anh Mơ,single,2,['PC'],1,358857,False,0tDbv3sxq6z364mkafjMtM,Như Anh Mơ (Instrumental),3,2,2020-03-16,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",1291.0
Rap Việt Season 2 - Tập 3,album,23,"['RAP VIỆT', 'Sol7']",1,176000,False,66KCoeGPimoVR3FInucM9Q,BACK TO HOMETOWN (TRỞ VỀ QUÊ NHÀ) [feat. Sol7],32,8,2021-11-01,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",2740042.0
Lấy Đi,single,21,"['Sol7', 'DCOD']",1,181333,False,69dwkq2ByGN6qPgohveLSR,Lấy Đi,31,1,2022-09-12,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",1457390.0
